时间,位移,载荷,压缩应变 (位移),压缩应力,循环计数
(s),(mm),(N),(%),(MPa),
0,0,-0.00562,0,-0.00006,0
0.1,0.00555,0.02807,0.05419,0.00028,0
0.2,0.01617,0.16648,0.15795,0.00164,0
0.3,0.02503,0.2575,0.24441,0.00253,0
0.4,0.03329,0.37512,0.32511,0.00369,0
0.5,0.04167,0.4873,0.40697,0.0048,0
0.6,0.05029,0.6203,0.49113,0.00611,0
0.7,0.05844,0.68289,0.57068,0.00672,0
0.8,0.06694,0.82285,0.65369,0.0081,0
0.9,0.07532,0.93786,0.73554,0.00923,0
1,0.08335,1.04675,0.81394,0.0103,0
1.1,0.09185,1.15404,0.89695,0.01136,0
1.2,0.10023,1.29666,0.9788,0.01276,0
1.3,0.10849,1.39499,1.0595,0.01373,0
1.4,0.11699,1.53632,1.14251,0.01512,0
1.5,0.12502,1.6837,1.22091,0.01657,0
1.6,0.13352,1.80333,1.30391,0.01775,0
1.7,0.14178,1.93358,1.38462,0.01903,0
1.8,0.14993,2.06651,1.46417,0.02034,0
1.9,0.15843,2.245,1.54717,0.0221,0
2,0.16669,2.40324,1.62788,0.02366,0
2.1,0.17508,2.53237,1.70973,0.02493,0
2.2,0.18369,2.69697,1.79389,0.02655,0
2.3,0.19196,2.87502,1.87459,0.0283,0
2.4,0.20034,3.04229,1.95645,0.02995,0
2.5,0.2086,3.20562,2.03715,0.03156,0
2.6,0.21663,3.35164,2.11555,0.03299,0
2.7,0.22513,3.54774,2.19855,0.03493,0
2.8,0.23351,3.72045,2.28041,0.03663,0
2.9,0.24166,3.90608,2.35996,0.03845,0
3,0.25016,4.07123,2.44297,0.04008,0
3.1,0.25831,4.2508,2.52252,0.04185,0
3.2,0.26669,4.45555,2.60437,0.04386,0
3.3,0.27507,4.63587,2.68623,0.04564,0
3.4,0.28333,4.8207,2.76693,0.04746,0
3.5,0.29183,5.01942,2.84993,0.04941,0
3.6,0.30022,5.23209,2.93179,0.05151,0
3.7,0.30848,5.40009,3.01249,0.05316,0
3.8,0.3171,5.58874,3.09665,0.05502,0
3.9,0.32524,5.79582,3.1762,0.05706,0
4,0.33351,5.96008,3.2569,0.05867,0
4.1,0.34201,6.16561,3.33991,0.0607,0
4.2,0.34992,6.34725,3.41716,0.06248,0
4.3,0.35842,6.5287,3.50016,0.06427,0
4.4,0.36668,6.71277,3.58086,0.06608,0
4.5,0.37494,6.89936,3.66157,0.06792,0
4.6,0.38356,7.08574,3.74573,0.06975,0
4.7,0.39171,7.27718,3.82528,0.07164,0
4.8,0.39997,7.46483,3.90598,0.07349,0
4.9,0.40871,7.65634,3.99129,0.07537,0
5,0.41674,7.81019,4.06969,0.07689,0
5.1,0.42512,8.02327,4.15154,0.07898,0
5.2,0.43362,8.17888,4.23455,0.08052,0
5.3,0.44188,8.38269,4.31525,0.08252,0
5.4,0.45038,8.57645,4.39826,0.08443,0
5.5,0.45853,8.75438,4.47781,0.08618,0
5.6,0.46667,8.89193,4.55736,0.08754,0
5.7,0.47541,9.06035,4.64267,0.08919,0
5.8,0.48332,9.25329,4.71992,0.09109,0
5.9,0.4917,9.44125,4.80177,0.09294,0
6,0.50044,9.61691,4.88709,0.09467,0
6.1,0.50847,9.7606,4.96548,0.09609,0
6.2,0.51673,9.95679,5.04618,0.09802,0
6.3,0.52499,10.1265,5.12689,0.09969,0
6.4,0.53326,10.28614,5.20759,0.10126,0
6.5,0.54188,10.45269,5.29175,0.1029,0
6.6,0.55026,10.61328,5.3736,0.10448,0
6.7,0.55852,10.75438,5.45431,0.10587,0
6.8,0.56714,10.92523,5.53847,0.10755,0
6.9,0.57528,11.09132,5.61802,0.10919,0
7,0.58343,11.21907,5.69756,0.11044,0
7.1,0.59169,11.38352,5.77827,0.11206,0
7.2,0.59996,11.56892,5.85897,0.11389,0
7.3,0.60846,11.68567,5.94198,0.11504,0
7.4,0.61672,11.86954,6.02268,0.11685,0
7.5,0.62499,12.01169,6.10338,0.11825,0
7.6,0.63372,12.16091,6.18869,0.11972,0
7.7,0.64187,12.31188,6.26824,0.1212,0
7.8,0.65001,12.45909,6.34779,0.12265,0
7.9,0.6584,12.59795,6.42965,0.12402,0
8,0.66678,12.70617,6.5115,0.12508,0
8.1,0.6754,12.85166,6.59566,0.12652,0
8.2,0.68366,13.02781,6.67636,0.12825,0
8.3,0.69204,13.1425,6.75822,0.12938,0
8.4,0.70042,13.297,6.84007,0.1309,0
8.5,0.70845,13.44463,6.91847,0.13235,0
8.6,0.7166,13.58288,6.99802,0.13372,0
8.7,0.72498,13.70539,7.07988,0.13492,0
8.8,0.73336,13.81951,7.16173,0.13604,0
8.9,0.74186,13.95824,7.24474,0.13741,0
9,0.75024,14.11634,7.32659,0.13897,0
9.1,0.75851,14.23279,7.40729,0.14011,0
9.2,0.76701,14.35484,7.4903,0.14131,0
9.3,0.77503,14.48418,7.5687,0.14259,0
9.4,0.78342,14.58111,7.65055,0.14354,0
9.5,0.79203,14.71607,7.73471,0.14487,0
9.6,0.80018,14.82546,7.81426,0.14595,0
9.7,0.8088,14.98518,7.89842,0.14752,0
9.8,0.81694,15.12527,7.97797,0.1489,0
9.9,0.82521,15.20314,8.05868,0.14967,0
10,0.83359,15.34153,8.14053,0.15103,0
10.1,0.8415,15.41877,8.21777,0.15179,0
10.2,0.84988,15.55451,8.29963,0.15312,0
10.3,0.85862,15.70316,8.38494,0.15459,0
10.4,0.86665,15.78635,8.46334,0.15541,0
10.5,0.87515,15.89839,8.54635,0.15651,0
10.6,0.88365,16.00638,8.62935,0.15757,0
10.7,0.89179,16.11899,8.7089,0.15868,0
10.8,0.90029,16.22221,8.79191,0.1597,0
10.9,0.90844,16.32568,8.87146,0.16072,0
11,0.9167,16.44268,8.95216,0.16187,0
11.1,0.92544,16.54,9.03748,0.16283,0
11.2,0.93347,16.63866,9.11587,0.1638,0
11.3,0.94173,16.73042,9.19657,0.1647,0
11.4,0.95035,16.84091,9.28074,0.16579,0
11.5,0.95826,16.92747,9.35798,0.16664,0
11.6,0.96664,17.02584,9.43983,0.16761,0
11.7,0.97502,17.08796,9.52169,0.16822,0
11.8,0.98317,17.18444,9.60124,0.16917,0
11.9,0.9919,17.28948,9.68655,0.1702,0
12,1.00028,17.38706,9.76841,0.17116,0
12.1,1.00855,17.43622,9.84911,0.17165,0
12.2,1.01717,17.54832,9.93327,0.17275,0
12.3,1.02508,17.65757,10.01051,0.17383,0
12.4,1.03358,17.7089,10.09352,0.17433,0
12.5,1.04184,17.80833,10.17422,0.17531,0
12.6,1.0501,17.90746,10.25492,0.17629,0
12.7,1.0586,17.96203,10.33793,0.17683,0
12.8,1.06699,18.05731,10.41979,0.17776,0
12.9,1.07501,18.13042,10.49818,0.17848,0
13,1.08351,18.20213,10.58119,0.17919,0
13.1,1.09154,18.30937,10.65959,0.18024,0
13.2,1.10004,18.33652,10.74259,0.18051,0
13.3,1.10866,18.45219,10.82676,0.18165,0
13.4,1.11669,18.5046,10.90515,0.18217,0
13.5,1.12542,18.61214,10.99046,0.18322,0
13.6,1.13369,18.66269,11.07117,0.18372,0
13.7,1.14183,18.73674,11.15072,0.18445,0
13.8,1.15033,18.82117,11.23372,0.18528,0
13.9,1.15836,18.86945,11.31212,0.18576,0
14,1.16686,18.97468,11.39513,0.18679,0
14.1,1.17536,19.04513,11.47814,0.18749,0
14.2,1.18351,19.09967,11.55769,0.18802,0
14.3,1.19201,19.17107,11.64069,0.18873,0
14.4,1.20015,19.26881,11.72024,0.18969,0
14.5,1.2083,19.31819,11.79979,0.19018,0
14.6,1.21668,19.32537,11.88165,0.19025,0
14.7,1.22506,19.41565,11.9635,0.19113,0
14.8,1.23344,19.52534,12.04536,0.19221,0
14.9,1.24194,19.56632,12.12837,0.19262,0
15,1.25021,19.61048,12.20907,0.19305,0
15.1,1.25871,19.66214,12.29207,0.19356,0
15.2,1.26697,19.74663,12.37278,0.19439,0
15.3,1.275,19.80611,12.45117,0.19498,0
15.4,1.28362,19.86008,12.53533,0.19551,0
15.5,1.29176,19.93669,12.61488,0.19626,0
15.6,1.30003,20.01153,12.69559,0.197,0
15.7,1.30865,20.02534,12.77975,0.19714,0
15.8,1.31667,20.08517,12.85814,0.19773,0
15.9,1.32529,20.13648,12.9423,0.19823,0
16,1.33344,20.2003,13.02185,0.19886,0
16.1,1.34158,20.25879,13.1014,0.19944,0
16.2,1.3502,20.30961,13.18556,0.19994,0
16.3,1.35847,20.36131,13.26626,0.20044,0
16.4,1.36673,20.41555,13.34696,0.20098,0
16.5,1.37558,20.48093,13.43343,0.20162,0
16.6,1.38361,20.50456,13.51183,0.20185,0
16.7,1.39188,20.56874,13.59253,0.20249,0
16.8,1.40038,20.61529,13.67554,0.20294,0
16.9,1.40828,20.64775,13.75278,0.20326,0
17,1.4169,20.68795,13.83694,0.20366,0
17.1,1.42517,20.77246,13.91764,0.20449,0
17.2,1.43331,20.81889,13.99719,0.20495,0
17.3,1.44217,20.84037,14.08366,0.20516,0
17.4,1.45019,20.89352,14.16206,0.20568,0
17.5,1.45834,20.93005,14.2416,0.20604,0
17.6,1.46672,20.97814,14.32346,0.20652,0
17.7,1.47499,21.05507,14.40416,0.20727,0
17.8,1.48349,21.06436,14.48717,0.20737,0
17.9,1.49199,21.12575,14.57018,0.20797,0
18,1.50025,21.15825,14.65088,0.20829,0
18.1,1.50875,21.21143,14.73389,0.20881,0
18.2,1.51701,21.27357,14.81459,0.20943,0
18.3,1.52504,21.28878,14.89299,0.20957,0
18.4,1.53354,21.33878,14.97599,0.21007,0
18.5,1.54169,21.35664,15.05554,0.21024,0
18.6,1.55007,21.40477,15.1374,0.21072,0
18.7,1.55857,21.44354,15.22041,0.2111,0
18.8,1.56695,21.48767,15.30226,0.21153,0
18.9,1.57533,21.53521,15.38412,0.212,0
19,1.58348,21.5425,15.46366,0.21207,0
19.1,1.59163,21.60168,15.54321,0.21266,0
19.2,1.60024,21.60157,15.62737,0.21265,0
19.3,1.60839,21.66007,15.70693,0.21323,0
19.4,1.61677,21.72005,15.78878,0.21382,0
19.5,1.62539,21.7594,15.87294,0.21421,0
19.6,1.63365,21.78966,15.95364,0.21451,0
19.7,1.64192,21.82454,16.03434,0.21485,0
19.8,1.65018,21.88622,16.11504,0.21546,0
19.9,1.65833,21.89901,16.19459,0.21558,0
20,1.66683,21.92808,16.2776,0.21587,0
20.1,1.67497,21.95866,16.35715,0.21617,0
20.2,1.68347,22.01278,16.44016,0.2167,0
20.3,1.69185,22.04277,16.52201,0.217,0
20.4,1.70024,22.08142,16.60387,0.21738,0
20.5,1.70862,22.12884,16.68572,0.21784,0
20.6,1.71653,22.17614,16.76297,0.21831,0
20.7,1.72503,22.18783,16.84597,0.21843,0
20.8,1.73376,22.2121,16.93129,0.21866,0
20.9,1.74179,22.26529,17.00968,0.21919,0
21,1.75029,22.27338,17.09269,0.21927,0
21.1,1.75879,22.32166,17.1757,0.21974,0
21.2,1.7667,22.35304,17.25294,0.22005,0
21.3,1.77508,22.38998,17.3348,0.22042,0
21.4,1.78323,22.43401,17.41435,0.22085,0
21.5,1.79149,22.441,17.49505,0.22092,0
21.6,1.80023,22.49535,17.58036,0.22145,0
21.7,1.80849,22.50411,17.66106,0.22154,0
21.8,1.81676,22.54067,17.74177,0.2219,0
21.9,1.82537,22.57705,17.82593,0.22226,0
22,1.8334,22.61041,17.90432,0.22259,0
22.1,1.84167,22.64607,17.98503,0.22294,0
22.2,1.8504,22.67372,18.07034,0.22321,0
22.3,1.85843,22.69765,18.14874,0.22344,0
22.4,1.86705,22.75837,18.2329,0.22404,0
22.5,1.87543,22.78217,18.31475,0.22428,0
22.6,1.88346,22.80633,18.39315,0.22451,0
22.7,1.89196,22.849,18.47616,0.22493,0
22.8,1.89987,22.86649,18.5534,0.22511,0
22.9,1.90813,22.88092,18.6341,0.22525,0
23,1.91687,22.9068,18.71941,0.2255,0
23.1,1.9249,22.96487,18.79781,0.22607,0
23.2,1.93363,23.00125,18.88312,0.22643,0
23.3,1.9419,23.00553,18.96383,0.22648,0
23.4,1.95004,23.05752,19.04338,0.22699,0
23.5,1.95866,23.09008,19.12754,0.22731,0
23.6,1.96692,23.08758,19.20824,0.22728,0
23.7,1.97519,23.16744,19.28894,0.22807,0
23.8,1.98369,23.189,19.37195,0.22828,0
23.9,1.99195,23.20307,19.45265,0.22842,0
24,2.00045,23.22941,19.53566,0.22868,0
24.1,2.0086,23.29028,19.61521,0.22928,0
24.2,2.01674,23.30196,19.69476,0.22939,0
24.3,2.02501,23.31859,19.77546,0.22956,0
24.4,2.03327,23.35091,19.85616,0.22988,0
24.5,2.04165,23.38966,19.93801,0.23026,0
24.6,2.05039,23.45557,20.02333,0.23091,0
24.7,2.05853,23.43661,20.10288,0.23072,0
24.8,2.06692,23.44929,20.18473,0.23084,0
24.9,2.0753,23.50081,20.26659,0.23135,0
25,2.08356,23.54827,20.34729,0.23182,0
25.1,2.09183,23.5553,20.42799,0.23189,0
25.2,2.10021,23.61359,20.50985,0.23246,0
25.3,2.10859,23.63057,20.5917,0.23263,0
25.4,2.11709,23.65423,20.67471,0.23286,0
25.5,2.12512,23.71328,20.75311,0.23344,0
25.6,2.1335,23.71575,20.83496,0.23347,0
25.7,2.14188,23.77527,20.91681,0.23405,0
25.8,2.14991,23.73723,20.99521,0.23368,0
25.9,2.15841,23.78536,21.07822,0.23415,0
26,2.16679,23.83965,21.16008,0.23469,0
26.1,2.17494,23.84132,21.23963,0.2347,0
26.2,2.18367,23.91974,21.32494,0.23548,0
26.3,2.19194,23.90373,21.40564,0.23532,0
26.4,2.20032,23.95848,21.4875,0.23586,0
26.5,2.20858,23.97626,21.5682,0.23603,0
26.6,2.21661,24.02987,21.64659,0.23656,0
26.7,2.22535,24.06543,21.73191,0.23691,0
26.8,2.23361,24.09028,21.81261,0.23715,0
26.9,2.24176,24.10698,21.89216,0.23732,0
27,2.25026,24.14231,21.97517,0.23767,0
27.1,2.25828,24.17299,22.05356,0.23797,0
27.2,2.26667,24.20653,22.13542,0.2383,0
27.3,2.27528,24.20025,22.21958,0.23824,0
27.4,2.28319,24.23412,22.29682,0.23857,0
27.5,2.29193,24.26791,22.38214,0.2389,0
27.6,2.30031,24.3324,22.46399,0.23954,0
27.7,2.30858,24.33622,22.54469,0.23958,0
27.8,2.31719,24.39653,22.62886,0.24017,0
27.9,2.32534,24.39975,22.7084,0.2402,0
28,2.33349,24.41941,22.78795,0.24039,0
28.1,2.34187,24.44765,22.86981,0.24067,0
28.2,2.3499,24.48382,22.9482,0.24103,0
28.3,2.35851,24.5388,23.03236,0.24157,0
28.4,2.36713,24.54053,23.11653,0.24159,0
28.5,2.37492,24.58019,23.19261,0.24198,0
28.6,2.38354,24.59904,23.27678,0.24216,0
28.7,2.39192,24.65438,23.35863,0.24271,0
28.8,2.39995,24.66521,23.43702,0.24281,0
28.9,2.40857,24.71437,23.52118,0.2433,0
29,2.41683,24.70819,23.60189,0.24324,0
29.1,2.4251,24.7644,23.68259,0.24379,0
29.2,2.43383,24.79736,23.7679,0.24411,0
29.3,2.44198,24.81819,23.84745,0.24432,0
29.4,2.45036,24.84136,23.92931,0.24455,0
29.5,2.45863,24.88406,24.01001,0.24497,0
29.6,2.46665,24.93715,24.08841,0.24549,0
29.7,2.47527,24.92996,24.17257,0.24542,0
29.8,2.48353,24.97224,24.25327,0.24584,0
29.9,2.49168,24.9844,24.33282,0.24596,0
30,2.5003,25.03074,24.41698,0.24641,0
30.1,2.50844,25.06748,24.49653,0.24677,0
30.2,2.51671,25.1021,24.57723,0.24711,0
30.3,2.52509,25.1401,24.65909,0.24749,0
30.4,2.53335,25.15222,24.73979,0.24761,0
30.5,2.54197,25.16947,24.82395,0.24778,0
30.6,2.55024,25.19863,24.90465,0.24806,0
30.7,2.55862,25.23467,24.98651,0.24842,0
30.8,2.56724,25.26855,25.07067,0.24875,0
30.9,2.57515,25.31515,25.14791,0.24921,0
31,2.58365,25.33432,25.23092,0.2494,0
31.1,2.59191,25.35597,25.31162,0.24961,0
31.2,2.60006,25.4045,25.39117,0.25009,0
31.3,2.60844,25.43556,25.47302,0.2504,0
31.4,2.6167,25.48293,25.55373,0.25086,0
31.5,2.62508,25.51154,25.63558,0.25115,0
31.6,2.63358,25.54191,25.71859,0.25144,0
31.7,2.64161,25.58908,25.79699,0.25191,0
31.8,2.64999,25.60521,25.87884,0.25207,0
31.9,2.65849,25.643,25.96185,0.25244,0
32,2.66664,25.66941,26.0414,0.2527,0
32.1,2.67537,25.7065,26.12671,0.25306,0
32.2,2.68364,25.74504,26.20741,0.25344,0
32.3,2.69202,25.7638,26.28927,0.25363,0
32.4,2.70052,25.80559,26.37227,0.25404,0
32.5,2.70843,25.80962,26.44952,0.25408,0
32.6,2.71658,25.84792,26.52907,0.25446,0
32.7,2.72519,25.87895,26.61323,0.25476,0
32.8,2.73334,25.94751,26.69278,0.25544,0
32.9,2.74184,25.97937,26.77579,0.25575,0
33,2.75022,26.01414,26.85764,0.25609,0
33.1,2.75837,26.05486,26.93719,0.25649,0
33.2,2.76699,26.07574,27.02135,0.2567,0
33.3,2.7749,26.12972,27.0986,0.25723,0
33.4,2.78316,26.13709,27.17929,0.2573,0
33.5,2.79201,26.16093,27.26576,0.25754,0
33.6,2.80028,26.1881,27.34646,0.25781,0
33.7,2.8089,26.21498,27.43062,0.25807,0
33.8,2.81728,26.24969,27.51248,0.25841,0
33.9,2.82507,26.28767,27.58857,0.25879,0
34,2.83357,26.32683,27.67158,0.25917,0
34.1,2.8416,26.37967,27.74997,0.25969,0
34.2,2.84986,26.41687,27.83068,0.26006,0
34.3,2.8586,26.42244,27.91599,0.26011,0
34.4,2.86686,26.46771,27.99669,0.26056,0
34.5,2.87524,26.48304,28.07855,0.26071,0
34.6,2.88363,26.54976,28.1604,0.26137,0
34.7,2.89165,26.55743,28.2388,0.26144,0
34.8,2.90003,26.63256,28.32066,0.26218,0
34.9,2.90853,26.64652,28.40366,0.26232,0
35,2.9168,26.66105,28.48436,0.26246,0
35.1,2.92542,26.69281,28.56852,0.26277,0
35.2,2.93368,26.72646,28.64922,0.26311,0
35.3,2.94194,26.76907,28.72992,0.26352,0
35.4,2.95044,26.83566,28.81294,0.26418,0
35.5,2.95847,26.84412,28.89133,0.26426,0
35.6,2.9665,26.89366,28.96973,0.26475,0
35.7,2.975,26.93066,29.05274,0.26512,0
35.8,2.98326,26.98989,29.13344,0.2657,0
35.9,2.99176,26.9951,29.21644,0.26575,0
36,3.00038,27.02892,29.30061,0.26608,0
36.1,3.00853,27.08241,29.38016,0.26661,0
36.2,3.01703,27.11447,29.46316,0.26693,0
36.3,3.02506,27.16021,29.54156,0.26738,0
36.4,3.03344,27.19997,29.62341,0.26777,0
36.5,3.04206,27.24776,29.70757,0.26824,0
36.6,3.0502,27.28578,29.78712,0.26861,0
36.7,3.0587,27.303,29.87013,0.26878,0
36.8,3.06697,27.31869,29.95083,0.26894,0
36.9,3.07511,27.37851,30.03038,0.26952,0
37,3.08337,27.38788,30.11108,0.26962,0
37.1,3.0914,27.44384,30.18948,0.27017,0
37.2,3.10002,27.50471,30.27364,0.27077,0
37.3,3.10852,27.51368,30.35665,0.27086,0
37.4,3.11678,27.55593,30.43735,0.27127,0
37.5,3.1254,27.58426,30.52151,0.27155,0
37.6,3.13355,27.62952,30.60106,0.272,0
37.7,3.14181,27.6991,30.68176,0.27268,0
37.8,3.15019,27.71914,30.76361,0.27288,0
37.9,3.15846,27.76716,30.84432,0.27335,0
38,3.16684,27.78484,30.92618,0.27352,0
38.1,3.17546,27.8413,31.01034,0.27408,0
38.2,3.18337,27.86055,31.08758,0.27427,0
38.3,3.19199,27.88017,31.17174,0.27446,0
38.4,3.20013,27.94679,31.25129,0.27512,0
38.5,3.20816,27.98656,31.32969,0.27551,0
38.6,3.21666,28.01076,31.41269,0.27575,0
38.7,3.22492,28.06224,31.4934,0.27626,0
38.8,3.23342,28.10438,31.5764,0.27667,0
38.9,3.24216,28.11382,31.66172,0.27676,0
39,3.25019,28.17099,31.74011,0.27733,0
39.1,3.25881,28.21515,31.82427,0.27776,0
39.2,3.26707,28.28612,31.90497,0.27846,0
39.3,3.2751,28.28312,31.98337,0.27843,0
39.4,3.2836,28.32098,32.06638,0.2788,0
39.5,3.29186,28.37305,32.14708,0.27932,0
39.6,3.30001,28.43136,32.22663,0.27989,0
39.7,3.30886,28.47457,32.3131,0.28031,0
39.8,3.31677,28.47921,32.39034,0.28036,0
39.9,3.32503,28.54966,32.47104,0.28105,0
40,3.33342,28.58071,32.5529,0.28136,0
40.1,3.34156,28.60991,32.63244,0.28165,0
40.2,3.35018,28.68349,32.71661,0.28237,0
40.3,3.35856,28.70933,32.79846,0.28263,0
40.4,3.36683,28.74544,32.87916,0.28298,0
40.5,3.37544,28.80175,32.96333,0.28354,0
40.6,3.38371,28.83493,33.04403,0.28386,0
40.7,3.39185,28.86542,33.12358,0.28416,0
40.8,3.40024,28.92316,33.20543,0.28473,0
40.9,3.40838,28.93398,33.28498,0.28484,0
41,3.41676,29.02062,33.36684,0.28569,0
41.1,3.42526,29.03661,33.44984,0.28585,0
41.2,3.43341,29.06815,33.52939,0.28616,0
41.3,3.44191,29.13155,33.6124,0.28678,0
41.4,3.45017,29.16645,33.6931,0.28713,0
41.5,3.45832,29.21503,33.77265,0.2876,0
41.6,3.46682,29.24088,33.85566,0.28786,0
41.7,3.47508,29.3079,33.93636,0.28852,0
41.8,3.48347,29.36532,34.01822,0.28908,0
41.9,3.49197,29.38282,34.10122,0.28926,0
42,3.50023,29.41093,34.18193,0.28953,0
42.1,3.50873,29.47346,34.26493,0.29015,0
42.2,3.51687,29.53209,34.34448,0.29073,0
42.3,3.52502,29.56555,34.42403,0.29105,0
42.4,3.53352,29.61865,34.50704,0.29158,0
42.5,3.54178,29.6699,34.58774,0.29208,0
42.6,3.55005,29.673,34.66844,0.29211,0
42.7,3.55843,29.73934,34.7503,0.29277,0
42.8,3.56669,29.77924,34.831,0.29316,0
42.9,3.57531,29.81116,34.91516,0.29347,0
43,3.58334,29.8699,34.99356,0.29405,0
43.1,3.5916,29.93806,35.07426,0.29472,0
43.2,3.60022,29.95614,35.15842,0.2949,0
43.3,3.60837,30.01331,35.23797,0.29546,0
43.4,3.61687,30.06606,35.32098,0.29598,0
43.5,3.62549,30.09772,35.40514,0.29629,0
43.6,3.63363,30.17017,35.48469,0.29701,0
43.7,3.64201,30.19747,35.56654,0.29728,0
43.8,3.65004,30.2456,35.64494,0.29775,0
43.9,3.65831,30.2576,35.72564,0.29787,0
44,3.66692,30.33482,35.8098,0.29863,0
44.1,3.67507,30.36636,35.88935,0.29894,0
44.2,3.68345,30.41794,35.9712,0.29945,0
44.3,3.69207,30.48417,36.05537,0.3001,0
44.4,3.69998,30.52821,36.13261,0.30053,0
44.5,3.70848,30.57549,36.21562,0.301,0
44.6,3.71662,30.63003,36.29516,0.30153,0
44.7,3.72501,30.67553,36.37702,0.30198,0
44.8,3.73374,30.71735,36.46233,0.30239,0
44.9,3.74189,30.77689,36.54189,0.30298,0
45,3.75027,30.79533,36.62374,0.30316,0
45.1,3.75877,30.87802,36.70675,0.30397,0
45.2,3.7668,30.9135,36.78514,0.30432,0
45.3,3.77494,30.91549,36.86469,0.30434,0
45.4,3.78344,30.99461,36.9477,0.30512,0
45.5,3.79159,31.02883,37.02725,0.30546,0
45.6,3.80009,31.06929,37.11026,0.30586,0
45.7,3.80859,31.14898,37.19327,0.30664,0
45.8,3.81674,31.1763,37.27281,0.30691,0
45.9,3.82535,31.20186,37.35698,0.30716,0
46,3.8335,31.29915,37.43652,0.30812,0
46.1,3.84165,31.31584,37.51607,0.30829,0
46.2,3.85038,31.37726,37.60139,0.30889,0
46.3,3.85865,31.41127,37.68209,0.30922,0
46.4,3.86703,31.47543,37.76394,0.30986,0
46.5,3.87529,31.54222,37.84465,0.31051,0
46.6,3.88356,31.59359,37.92535,0.31102,0
46.7,3.89182,31.63545,38.00605,0.31143,0
46.8,3.90008,31.65986,38.08675,0.31167,0
46.9,3.90823,31.73892,38.16631,0.31245,0
47,3.91697,31.79358,38.25161,0.31299,0
47.1,3.92511,31.83827,38.33116,0.31343,0
47.2,3.93338,31.86566,38.41187,0.3137,0
47.3,3.94187,31.93994,38.49487,0.31443,0
47.4,3.95014,31.99006,38.57558,0.31492,0
47.5,3.95852,32.01563,38.65743,0.31517,0
47.6,3.96667,32.07886,38.73698,0.3158,0
47.7,3.97517,32.12484,38.81999,0.31625,0
47.8,3.98378,32.20231,38.90415,0.31701,0
47.9,3.99181,32.22219,38.98254,0.31721,0
48,4.00031,32.26768,39.06555,0.31766,0
48.1,4.00881,32.34458,39.14856,0.31841,0
48.2,4.0166,32.38354,39.22465,0.3188,0
48.3,4.02487,32.42954,39.30536,0.31925,0
48.4,4.03325,32.47157,39.38721,0.31966,0
48.5,4.04175,32.52938,39.47022,0.32023,0
48.6,4.05025,32.61951,39.55323,0.32112,0
48.7,4.05851,32.65873,39.63392,0.3215,0
48.8,4.06701,32.70451,39.71693,0.32196,0
48.9,4.07528,32.77269,39.79764,0.32263,0
49,4.08331,32.82149,39.87603,0.32311,0
49.1,4.09192,32.84114,39.96019,0.3233,0
49.2,4.10031,32.91842,40.04205,0.32406,0
49.3,4.10857,32.98062,40.12275,0.32467,0
49.4,4.11707,33.04465,40.20576,0.3253,0
49.5,4.12522,33.07241,40.2853,0.32558,0
49.6,4.1336,33.14664,40.36716,0.32631,0
49.7,4.14198,33.20135,40.44901,0.32685,0
49.8,4.14977,33.21865,40.52511,0.32702,0
49.9,4.15839,33.30539,40.60926,0.32787,0
50,4.16689,33.38343,40.69228,0.32864,0
50.1,4.17503,33.42823,40.77183,0.32908,0
50.2,4.18365,33.46955,40.85599,0.32949,0
50.3,4.1918,33.51091,40.93553,0.32989,0
50.4,4.20006,33.60255,41.01624,0.3308,0
50.5,4.20868,33.64877,41.10039,0.33125,0
50.6,4.21671,33.69318,41.17879,0.33169,0
50.7,4.22521,33.72981,41.2618,0.33205,0
50.8,4.23371,33.77398,41.34481,0.33248,0
50.9,4.24174,33.8527,41.4232,0.33326,0
51,4.25035,33.93641,41.50737,0.33408,0
51.1,4.2585,33.97318,41.58691,0.33444,0
51.2,4.26653,34.03666,41.66532,0.33507,0
51.3,4.27515,34.09397,41.74947,0.33563,0
51.4,4.28329,34.13749,41.82902,0.33606,0
51.5,4.29179,34.21102,41.91203,0.33679,0
51.6,4.30029,34.25383,41.99504,0.33721,0
51.7,4.30856,34.33647,42.07574,0.33802,0
51.8,4.31706,34.39198,42.15875,0.33857,0
51.9,4.32532,34.45222,42.23945,0.33916,0
52,4.33347,34.48712,42.319,0.3395,0
52.1,4.34185,34.56025,42.40085,0.34022,0
52.2,4.35035,34.61046,42.48386,0.34072,0
52.3,4.35849,34.66515,42.56341,0.34126,0
52.4,4.36711,34.73583,42.64757,0.34195,0
52.5,4.37514,34.79276,42.72597,0.34251,0
52.6,4.3834,34.8601,42.80667,0.34318,0
52.7,4.39178,34.90121,42.88852,0.34358,0
52.8,4.39981,34.97203,42.96692,0.34428,0
52.9,4.40843,35.05678,43.05108,0.34511,0
53,4.41669,35.09448,43.13178,0.34548,0
53.1,4.42508,35.16242,43.21364,0.34615,0
53.2,4.43381,35.20926,43.29895,0.34661,0
53.3,4.44196,35.29561,43.3785,0.34746,0
53.4,4.45022,35.3345,43.4592,0.34785,0
53.5,4.4586,35.3983,43.54106,0.34847,0
53.6,4.46663,35.4656,43.61945,0.34914,0
53.7,4.47525,35.52359,43.70361,0.34971,0
53.8,4.48351,35.59605,43.78431,0.35042,0
53.9,4.49166,35.65374,43.86387,0.35099,0
54,4.50028,35.7407,43.94802,0.35185,0
